"USER_ID","Income","Gender","HouseholdStatus","EducationLevel","Q109244","Q114152","Q115611","Q118232","Q98197","Q116953","Q117193"
2,"$25,001 - $50,000","Female","Single (no kids)","Master's Degree","Yes","No","No","Idealist","","Yes","Odd hours"
3,"$50,000 - $74,999","Male","Married (w/kids)","Current Undergraduate","No","No","","","No","Yes",""
6,"$75,000 - $100,000","Male","Single (no kids)","Current K-12","No","No","","","Yes","Yes",""
7,"$50,000 - $74,999","Female","Single (no kids)","Master's Degree","Yes","Yes","No","Idealist","No","Yes","Standard hours"
14,"","Female","Married (no kids)","Current Undergraduate","No","","No","Idealist","No","Yes","Standard hours"
28,"over $150,000","Male","Married (no kids)","Master's Degree","No","No","Yes","Pragmatist","No","Yes","Odd hours"
29,"$50,000 - $74,999","Female","Single (no kids)","Bachelor's Degree","","","","","Yes","",""
37,"over $150,000","Male","Domestic Partners (no kids)","High School Diploma","No","No","Yes","","","No","Odd hours"
44,"under $25,000","Female","Single (no kids)","High School Diploma","Yes","Yes","No","","No","No","Standard hours"
56,"$75,000 - $100,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","No","No","Standard hours"
62,"$50,000 - $74,999","Female","Domestic Partners (no kids)","Bachelor's Degree","Yes","","No","","","","Odd hours"
68,"$75,000 - $100,000","Female","Married (w/kids)","Master's Degree","No","No","Yes","Idealist","Yes","Yes","Standard hours"
72,"$50,000 - $74,999","Male","Single (no kids)","High School Diploma","","","No","","","","Standard hours"
74,"$50,000 - $74,999","Male","Single (w/kids)","Current Undergraduate","No","Yes","Yes","","Yes","",""
80,"$75,000 - $100,000","Female","Single (no kids)","Current K-12","No","No","No","Pragmatist","No","Yes","Standard hours"
81,"over $150,000","Male","Married (w/kids)","Master's Degree","No","No","No","Pragmatist","Yes","Yes","Standard hours"
87,"$25,001 - $50,000","Male","Single (no kids)","Bachelor's Degree","Yes","No","","Idealist","No","No","Odd hours"
92,"$100,001 - $150,000","Male","Single (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","No","Standard hours"
