"USER_ID","Party","Income","Gender","HouseholdStatus","EducationLevel","Q109244","Q114152","Q115611","Q118232","Q98197","Q116953","Q117193"
1,"Democrat","","Male","Married (w/kids)","","No","Yes","No","Idealist","No","Yes",""
4,"Democrat","over $150,000","Female","Domestic Partners (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
5,"Republican","$75,000 - $100,000","Male","Single (no kids)","High School Diploma","No","No","Yes","Pragmatist","Yes","Yes","Odd hours"
8,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","No","Yes","Standard hours"
9,"Republican","$50,000 - $74,999","Female","Married (w/kids)","High School Diploma","No","No","No","Idealist","No","Yes","Standard hours"
10,"Democrat","over $150,000","Female","Single (no kids)","Current K-12","","","","Pragmatist","","","Standard hours"
11,"Democrat","$25,001 - $50,000","Male","Married (no kids)","Current Undergraduate","Yes","","No","Pragmatist","Yes","No","Odd hours"
12,"Republican","$75,000 - $100,000","Male","Single (no kids)","Current K-12","No","No","Yes","Idealist","Yes","No","Standard hours"
15,"Republican","$50,000 - $74,999","Female","Married (w/kids)","","No","Yes","Yes","Idealist","Yes","No","Standard hours"
16,"Republican","over $150,000","Male","Married (no kids)","Bachelor's Degree","","","","","","",""
17,"Republican","$100,001 - $150,000","Female","Domestic Partners (no kids)","Bachelor's Degree","No","No","Yes","Idealist","No","Yes","Standard hours"
18,"Democrat","$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","Yes","Yes","Yes","Pragmatist","Yes","Yes","Odd hours"
19,"Republican","$75,000 - $100,000","Male","Single (no kids)","Current K-12","No","No","No","Idealist","No","No","Odd hours"
20,"Republican","$75,000 - $100,000","Male","Married (w/kids)","Bachelor's Degree","No","No","Yes","Idealist","No","Yes","Odd hours"
21,"Republican","over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","Yes","Yes","Odd hours"
22,"Democrat","$75,000 - $100,000","Female","Single (no kids)","","Yes","","","","No","",""
23,"Democrat","$50,000 - $74,999","Male","Married (no kids)","Bachelor's Degree","Yes","Yes","No","Pragmatist","No","No","Odd hours"
24,"Democrat","$25,001 - $50,000","Female","Single (no kids)","Master's Degree","Yes","Yes","No","Pragmatist","Yes","Yes","Standard hours"
25,"Democrat","$75,000 - $100,000","Male","Married (w/kids)","Associate's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
26,"Republican","$50,000 - $74,999","Female","Domestic Partners (no kids)","High School Diploma","No","No","No","Pragmatist","No","Yes","Standard hours"
27,"Democrat","over $150,000","Male","Domestic Partners (w/kids)","Master's Degree","Yes","","No","Idealist","Yes","Yes","Standard hours"
30,"Democrat","$75,000 - $100,000","Male","Single (no kids)","Current K-12","No","Yes","No","Pragmatist","","Yes","Standard hours"
31,"Democrat","","Male","","Current K-12","","","","","","",""
32,"Republican","$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","No","Yes","Odd hours"
33,"Democrat","$50,000 - $74,999","Female","Married (w/kids)","Master's Degree","Yes","No","No","Pragmatist","No","","Standard hours"
34,"Democrat","","Female","Married (no kids)","Associate's Degree","Yes","No","No","Pragmatist","No","No",""
35,"Democrat","over $150,000","Male","Single (no kids)","Current K-12","Yes","No","No","Pragmatist","No","Yes","Standard hours"
36,"Democrat","$25,001 - $50,000","Female","Single (no kids)","Bachelor's Degree","","Yes","No","","","Yes","Standard hours"
38,"Democrat","$75,000 - $100,000","Female","Single (no kids)","High School Diploma","No","No","No","Idealist","No","Yes","Standard hours"
39,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","Yes","Yes","No","Pragmatist","Yes","Yes",""
40,"Democrat","$25,001 - $50,000","Female","Married (w/kids)","Bachelor's Degree","No","Yes","No","Pragmatist","No","Yes","Standard hours"
41,"Republican","$50,000 - $74,999","Male","Married (no kids)","","","Yes","Yes","","","",""
42,"Democrat","$25,001 - $50,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","Yes","Yes","Standard hours"
43,"Democrat","$100,001 - $150,000","Male","Single (no kids)","Current Undergraduate","Yes","No","No","Pragmatist","No","No","Standard hours"
45,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","High School Diploma","No","Yes","Yes","Idealist","Yes","",""
46,"Democrat","$100,001 - $150,000","Female","Married (w/kids)","Master's Degree","Yes","No","Yes","Pragmatist","No","Yes","Standard hours"
47,"Republican","over $150,000","Male","Married (w/kids)","Current K-12","","","Yes","","Yes","No","Standard hours"
48,"Democrat","","Male","Married (no kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","Yes","Odd hours"
49,"Republican","$25,001 - $50,000","Female","Single (w/kids)","","No","","","","","",""
50,"Republican","$75,000 - $100,000","Male","Married (w/kids)","High School Diploma","","","","","","",""
51,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Doctoral Degree","No","No","Yes","Idealist","No","No","Standard hours"
52,"Republican","","Female","Single (no kids)","","","","Yes","","","Yes","Odd hours"
53,"Republican","$25,001 - $50,000","Male","Single (w/kids)","","No","","No","Pragmatist","No","No","Odd hours"
54,"Democrat","$100,001 - $150,000","Female","Married (w/kids)","","No","Yes","No","Pragmatist","No","Yes","Odd hours"
55,"Democrat","over $150,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","Yes","Standard hours"
57,"Republican","$100,001 - $150,000","Male","Single (no kids)","Current K-12","No","","Yes","","Yes","Yes","Odd hours"
58,"Democrat","$50,000 - $74,999","Male","Single (no kids)","","Yes","No","No","Idealist","No","Yes","Odd hours"
59,"Republican","$50,000 - $74,999","Male","Single (no kids)","High School Diploma","No","No","No","Pragmatist","Yes","Yes","Standard hours"
60,"Republican","under $25,000","Male","Single (no kids)","Current Undergraduate","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
