Car no,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration
1,18,8,307,130,3504,12
2,15,8,350,165,3693,11.5
3,18,8,318,150,3436,11
4,16,8,304,150,3433,12
5,17,8,302,140,3449,10.5
6,15,8,429,198,4341,10
7,14,8,454,220,4354,9
8,14,8,440,215,4312,8.5
9,14,8,455,225,4425,10
10,15,8,390,190,3850,8.5
11,15,8,383,170,3563,10
12,14,8,340,160,3609,8
13,15,8,400,150,3761,9.5
14,14,8,455,225,3086,10
15,24,4,113,95,2372,15
16,22,6,198,95,2833,15.5
17,18,6,199,97,2774,15.5
18,21,6,200,85,2587,16
19,27,4,97,88,2130,14.5
20,26,4,97,46,1835,20.5
21,25,4,110,87,2672,17.5
22,24,4,107,90,2430,14.5
23,25,4,104,95,2375,17.5
24,26,4,121,113,2234,12.5
25,21,6,199,90,2648,15
26,10,8,360,215,4615,14
27,10,8,307,200,4376,15
28,11,8,318,210,4382,13.5
29,9,8,304,193,4732,18.5
30,27,4,97,88,2130,14.5
31,28,4,140,90,2264,15.5
32,25,4,113,95,2228,14
33,19,6,232,100,2634,13
34,16,6,225,105,3439,15.5
35,17,6,250,100,3329,15.5
36,19,6,250,88,3302,15.5
37,18,6,232,100,3288,15.5
38,14,8,350,165,4209,12
39,14,8,400,175,4464,11.5
40,14,8,351,153,4154,13.5
41,14,8,318,150,4096,13
42,12,8,383,180,4955,11.5
43,13,8,400,170,4746,12
44,13,8,400,175,5140,12
45,18,6,258,110,2962,13.5
46,22,4,140,72,2408,19
47,19,6,250,100,3282,15
48,18,6,250,88,3139,14.5
49,23,4,122,86,2220,14
50,28,4,116,90,2123,14
51,30,4,79,70,2074,19.5
52,30,4,88,76,2065,14.5
53,31,4,71,65,1773,19
54,35,4,72,69,1613,18
55,27,4,97,60,1834,19
56,26,4,91,70,1955,20.5
57,24,4,113,95,2278,15.5
58,25,4,97.5,80,2126,17
59,23,4,97,54,2254,23.5
60,20,4,140,90,2408,19.5
61,21,4,122,86,2226,16.5
62,13,8,350,165,4274,12
63,14,8,400,175,4385,12
64,15,8,318,150,4135,13.5
65,14,8,351,153,4129,13
66,17,8,304,150,3672,11.5
67,11,8,429,208,4633,11
68,13,8,350,155,4502,13.5
69,12,8,350,160,4456,13.5
70,13,8,400,190,4422,12.5
71,19,3,70,97,2330,13.5
72,15,8,304,150,3892,12.5
73,13,8,307,130,4098,14
74,13,8,302,140,4294,16
75,14,8,318,150,4077,14
76,18,4,121,112,2933,14.5
77,22,4,121,76,2511,18
78,21,4,120,87,2979,19.5
79,26,4,96,69,2189,18
80,22,4,122,86,2395,16
81,28,4,97,92,2288,17
82,23,4,120,97,2506,14.5
83,28,4,98,80,2164,15
84,27,4,97,88,2100,16.5
85,13,8,350,175,4100,13
86,14,8,304,150,3672,11.5
87,13,8,350,145,3988,13
88,14,8,302,137,4042,14.5
89,15,8,318,150,3777,12.5
90,12,8,429,198,4952,11.5
91,13,8,400,150,4464,12
92,13,8,351,158,4363,13
93,14,8,318,150,4237,14.5
94,13,8,440,215,4735,11
95,12,8,455,225,4951,11
96,13,8,360,175,3821,11
97,18,6,225,105,3121,16.5
98,16,6,250,100,3278,18
99,18,6,232,100,2945,16
100,18,6,250,88,3021,16.5
101,23,6,198,95,2904,16
102,26,4,97,46,1950,21
103,11,8,400,150,4997,14
104,12,8,400,167,4906,12.5
105,13,8,360,170,4654,13
106,12,8,350,180,4499,12.5
107,18,6,232,100,2789,15
108,20,4,97,88,2279,19
109,21,4,140,72,2401,19.5
110,22,4,108,94,2379,16.5
